time,open,high,low,close
2022-04-24T01:00:00+01:00,18361.22,18857.23,18212,18250.96
2022-04-25T01:00:00+01:00,18246.65,18774.35,17463.86,18696.98
2022-04-26T01:00:00+01:00,18707.73,19143.74,17274.16,17485.93
2022-04-27T01:00:00+01:00,17481.22,17991.2,17283.61,17729.83
2022-04-28T01:00:00+01:00,17739.46,18244.61,17614,17882.6
2022-04-29T01:00:00+01:00,17882.75,18132.27,16374.42,16932.31
2022-04-30T01:00:00+01:00,16925.78,17235.56,15788.97,16662.03
2022-05-01T01:00:00+01:00,16662.36,17437.85,16339.07,17045.46
2022-05-02T01:00:00+01:00,17054.4,17392.29,16645.38,17141.34
2022-05-03T01:00:00+01:00,17164.25,17853.39,17057.03,17471.49
2022-05-04T01:00:00+01:00,17471.49,18575,17312.33,18334.8
2022-05-05T01:00:00+01:00,18330.08,18453.09,16517.23,16852.52
2022-05-06T01:00:00+01:00,16860.07,17273.62,16386.25,16726.83
2022-05-07T01:00:00+01:00,16726.83,16933.92,16124.75,16369.08
2022-05-08T01:00:00+01:00,16365.7,16488.15,15447.8,15568.96
2022-05-09T01:00:00+01:00,15580.58,15795.31,12329.28,12498.68
2022-05-10T01:00:00+01:00,12473.69,14782.58,12232.54,13700.96
2022-05-11T01:00:00+01:00,13711.03,14863.47,11184.09,11380.1
2022-05-12T01:00:00+01:00,11380.18,12093.42,9515.57,9937.46
2022-05-13T01:00:00+01:00,9934.73,11184.97,9714.51,9938.55
2022-05-14T01:00:00+01:00,9924.69,10391.96,9539.37,10219.56
2022-05-15T01:00:00+01:00,10215.12,10697.12,9818.57,10612.85
2022-05-16T01:00:00+01:00,10612.85,10612.85,9639.03,9754.01
2022-05-17T01:00:00+01:00,9753.54,10525.97,9655.82,10000.65
2022-05-18T01:00:00+01:00,9998.4,10254,9040.62,9083.99
2022-05-19T01:00:00+01:00,9092.43,9765.06,8873.91,9512.37
2022-05-20T01:00:00+01:00,9512.37,9905.17,9010.16,9142.61
2022-05-21T01:00:00+01:00,9140.42,9464.75,8907.67,9277.18
2022-05-22T01:00:00+01:00,9283.02,9690,9139.39,9487.47
2022-05-23T01:00:00+01:00,9481.2,9807.11,8850,8938.61
2022-05-24T01:00:00+01:00,8943.93,9324.31,8750.28,9087.62
2022-05-25T01:00:00+01:00,9090.85,10357.53,7795.2,8462.69
2022-05-26T01:00:00+01:00,8469.77,8940.5,7695.43,7751.02
2022-05-27T01:00:00+01:00,7755.51,8036.2,7330.12,7388.26
